row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,QEC18_Blank_resusp_20181227024429.mzML Peak area,QEC18_Blank_resusp_20181227100129.mzML Peak area,QEC18_Blank_resusp_20181226235330.mzML Peak area,QEC18_Blank_resusp_20181227200515.mzML Peak area,QEC18_Blank_resusp_20181227072924.mzML Peak area,QEC18_Blank_resusp_20181227051626.mzML Peak area,QEC18_Blank_resusp_20181227180406.mzML Peak area,QEC18_Blank_resusp_20181227154841.mzML Peak area,QEC18_Blank_resusp_20181228030323.mzML Peak area,QEC18_Blank_resusp_20181227235313.mzML Peak area,QEC18_F1-1_F2-1.mzML Peak area,QEC18_F1-1_F2-1_20181227143118.mzML Peak area,QEC18_F1-1_F2-1_20181227084526.mzML Peak area,QEC18_F1-1_F2-1_NIST-2_To-1.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-2.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-2_20181227113714.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-1_20181227125436.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-1_20181227135238.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-1.mzML Peak area,QEC18_F1-1_F2-1_NIST-1_To-2_20181227184249.mzML Peak area,QEC18_F1-1_F2-1_NIST-2_To-1_20181227152919.mzML Peak area,QEC18_F1-1_NIST-3_20181227133316.mzML Peak area,QEC18_F1-1_NIST-3_20181228012817.mzML Peak area,QEC18_F1-1_NIST-3.mzML Peak area,QEC18_F1-1_F2-3.mzML Peak area,QEC18_F1-1_F2-2_NIST-1_To-1_20181227065123.mzML Peak area,QEC18_F1-1_F2-2_NIST-1_To-1.mzML Peak area,QEC18_F1-1_F2-1_NIST-2_To-1_20181227225613.mzML Peak area,QEC18_F1-1_To-1.mzML Peak area,QEC18_F1-1_To-3.mzML Peak area,QEC18_F1-1_To-1_20181227123513.mzML Peak area,QEC18_F1-1_F2-2_NIST-1_To-1_20181228034123.mzML Peak area,QEC18_F1-1_To-1_20181227043825.mzML Peak area,QEC18_F1-1_F2-3_20181227012831.mzML Peak area,QEC18_F1-1_NIST-1_20181227210213.mzML Peak area,QEC18_F1-1_NIST-1.mzML Peak area,QEC18_F1-2_F2-1_NIST-1_To-1.mzML Peak area,QEC18_F1-1_To-3_20181227174446.mzML Peak area,QEC18_F1-1_NIST-1_20181227215913.mzML Peak area,QEC18_F1-1_To-3_20181227223713.mzML Peak area,QEC18_F1-2_F2-1_NIST-1_To-1_20181228020619.mzML Peak area,QEC18_F1-1_F2-3_20181227071023.mzML Peak area,QEC18_F1-3_F2-1_20181227190209.mzML Peak area,QEC18_F1-3_F2-1.mzML Peak area,QEC18_F2-1_NIST-3_20181227103932.mzML Peak area,QEC18_F1-3_To-1_20181228024423.mzML Peak area,QEC18_F1-2_F2-1_NIST-1_To-1_20181228022521.mzML Peak area,QEC18_F2-1_NIST-1_20181227212113.mzML Peak area,QEC18_F2-1_NIST-3.mzML Peak area,QEC18_F2-1_NIST-1.mzML Peak area,QEC18_F1-3_F2-1_20181227131356.mzML Peak area,QEC18_F2-1_NIST-1_20181227233413.mzML Peak area,QEC18_F2-1_To-1.mzML Peak area,QEC18_F1-3_NIST-1.mzML Peak area,QEC18_F2-1_NIST-3_20181227145038.mzML Peak area,QEC18_F2-1_To-1_20181227150959.mzML Peak area,QEC18_F2-1_To-3_20181226223728.mzML Peak area,QEC18_F1-3_To-1.mzML Peak area,QEC18_F1-3_NIST-1_20181227045725.mzML Peak area,QEC18_F2-1_To-3.mzML Peak area,QEC18_F1-3_NIST-1_20181227170603.mzML Peak area,QEC18_F2-3_To-1_20181227082626.mzML Peak area,QEC18_F2-1_To-3_20181227041925.mzML Peak area,QEC18_F2-3_To-1.mzML Peak area,QEC18_F2-1_To-1_20181228014719.mzML Peak area,QEC18_F1.mzML Peak area,QEC18_F2-3_NIST-1.mzML Peak area,QEC18_NIST.mzML Peak area,QEC18_F2-3_NIST-1_20181227162723.mzML Peak area,QEC18_Qcmix_begin.mzML Peak area,QEC18_NIST_20181227102029.mzML Peak area,QEC18_NIST_20181227182328.mzML Peak area,QEC18_To-1_NIST-1.mzML Peak area,QEC18_F1_20181227030329.mzML Peak area,QEC18_F2-3_To-1_20181227164643.mzML Peak area,QEC18_To-3_NIST-1.mzML Peak area,QEC18_F2-3_NIST-1_20181228005015.mzML Peak area,QEC18_F1-3_To-1_20181228003115.mzML Peak area,QEC18_F2.mzML Peak area,QEC18_To-3_NIST-1_20181227074824.mzML Peak area,QEC18_To-1_NIST-1_20181227111754.mzML Peak area,QEC18_F1_20181228032223.mzML Peak area,QEC18_F2_20181228001213.mzML Peak area,QEC18_To-1_NIST-1_20181228010915.mzML Peak area,QEC18_To-1_NIST-3_20181227214013.mzML Peak area,QEC18_blank_SPE_20181227092326.mzML Peak area,QEC18_blank_SPE.mzML Peak area,QEC18_To-1_NIST-3_20181227172525.mzML Peak area,QEC18_blank_SPE_20181227221813.mzML Peak area,QEC18_F2_20181227121553.mzML Peak area,QEC18_To_20181227231513.mzML Peak area,QEC18_To-3_NIST-1_20181227160801.mzML Peak area,QEC18_To_20181227204313.mzML Peak area,QEC18_To-1_NIST-3.mzML Peak area,QEC18_Qcmix_end.mzML Peak area,QEC18_To.mzML Peak area,QEC18_QCmix_no_exclusion.mzML Peak area,QEC18_Qcmix_middle.mzML Peak area,QEC18_Qcmix_end_20181228041923.mzML Peak area,
1236,347.294655046569,10.375138413043482,224,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.2405387991614684E7,2.1880060876430415E7,2.1047562019116826E7,1.7868453414963163E7,1.8688669904526908E7,2.1256771431313474E7,2.0662368822956026E7,2.3076554852250952E7,1.8435219507984947E7,1.991794282143181E7,2.0334945076261386E7,2.1701495657672234E7,0,1.7939382743108198E7,1.6561125829842176E7,1.8555635495952487E7,1.9908299216481443E7,2.0349876102245934E7,0,1.7482788278280903E7,1.8446144356820874E7,2.507667662163769E7,2.4243726543417323E7,3.906533153432521E7,3.878565913240151E7,2.6575603000830706E7,2.13529297087438E7,4.019313655217235E7,2.2268865440987628E7,2.813403273919379E7,2.4530939843051665E7,3.527068000260373E7,4.742470188805303E7,0,3.4895896761368595E7,3.517866310582829E7,0,0,0,4.432426996040585E7,0,0,5.584838871866188E7,0,0,0,5.79723104253753E7,6.020202037087377E7,0,5.643949400238711E7,0,0,0,0,7.614890339001665E7,0,0,0,0,0,0,0,6.801814605745837E7,0,0,0,5.5339925818378985E7,0,0,0,7.04837393710885E7,0,0,0,0,0,0,0,0,0,0,0,0,2.0403561584806956E7,0,2.1971878391265325E7,2.0200205794136472E7,2.3635617395775493E7,
1237,165.09111732004249,12.723716014925374,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.1594238525103137E7,1.9588334228707585E7,1.559568645770614E7,1.5587058580498146E7,1.5393545312002452E7,1.7787417648440484E7,1.7451193785247628E7,1.952088080174643E7,1.5386644070107292E7,1.4770806875366345E7,5032608.055415566,5532114.513784647,0,3.192841430708659E7,2.4857707386112243E7,2.7576538579646133E7,1.6011876336930104E7,4742029.164449504,0,3792533.846751088,2.9235727256857276E7,5736270.504481803,4.2568068592687346E7,1.0173286432845157E7,1.010432657464298E7,1.5699882134758083E7,4656168.043737104,1.1132624567371886E7,4740958.4386340855,1.5487333351981714E7,4.3720674436237104E7,1.688336288707327E7,2.3268008767803967E7,1.5688812492072126E7,8786680.790777046,1.96732904326837E7,2.91452317764444E7,0,3.074663830252505E7,2.2086666296336472E7,3.0379880443112146E7,2.097169978925632E7,1.4923805054054944E7,1.582324009052603E7,1.6963946564261053E7,1.5245399602655575E7,1.662470921022003E7,1.6596188665886179E7,6357046.978953367,1.5882967725365449E7,2.5619348820993807E7,1.4705695032187471E7,3.0125760403664824E7,2.7191494222893786E7,2.150036474855268E7,4.521290791442649E7,0,4.088259499616235E7,2741113.026276571,0,0,0,2.1871618146348972E7,3.852860754888051E7,0,4.161023564419231E7,1.4642259245865256E7,5.415337277010738E7,0,0,2.051502259451566E7,4.788835162660487E7,0,0,0,0,0,0,5.250092219357972E7,0,0,0,0,1.736291865197452E7,0,1.9823157277089458E7,1.76900326021839E7,1.8450904904280227E7,
1238,395.22097865023215,11.329439290322583,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.7151195928636167E7,1.3554221865880553E7,1.3373271490489759E7,1.5657590126504956E7,1.5864839519851502E7,1.6174811080855427E7,2.103924733831934E7,0,2.214966047446128E7,2.171591760059865E7,1.878871044952659E7,2.3734402302051328E7,0,1.2920215124633119E7,1.7169929559455376E7,0,2.70365873773271E7,0,0,0,3.1922611251461186E7,0,1.5217067624804342E7,2.516049042357493E7,2.4779926813354775E7,1.2853864075642122E7,1.749494640811243E7,2.6735306714426704E7,2.3293988768969506E7,2.8642289232545786E7,1.6722770090586642E7,2.307849507249723E7,1.2594268554735774E7,1.4990476008790506E7,2.521740014454801E7,3.144152580715728E7,2.968402870279906E7,0,1.6636411933719946E7,1.6096722616949342E7,2.828467182689925E7,1.299266783341068E7,1.2078099922792673E7,1.944426133774699E7,1.866828844676168E7,0,1.4657265083992474E7,1.3469758083249992E7,0,2.181725665837928E7,1.3635238506940227E7,0,1.251648380898394E7,3.0929744115837317E7,1.317811090835277E7,1.6917196933070853E7,0,2.5625505260297548E7,0,0,1.1089275396725684E7,0,1.2910244274878796E7,2.501417741429162E7,0,3.2000203575572893E7,2.839567464369895E7,1.5566510469385087E7,0,0,3.2160136833355427E7,3.579119308353596E7,1.4789604827620203E7,1.4192146424419317E7,0,0,0,0,2.111169035395359E7,0,0,1.2481622809128216E7,0,2.2492558933747634E7,0,2.6949570922918085E7,1.6159353618152766E7,2.9097457094921116E7,
1239,421.2927659842084,11.456015545454548,253,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.8047404038161706E7,2.788715605391234E7,2.638892951012483E7,2.3622930448705483E7,2.4537444219923317E7,2.627252966832458E7,1.2680306677866003E7,3.1292223296692703E7,2.3196441407381218E7,2.5136957141080312E7,0,3.746586294505825E7,0,0,2.1383163917652845E7,2.307719286029633E7,0,3.1404976294044934E7,0,0,1.0444961057167469E7,2.098132067532958E7,1.6245943428896256E7,5.834703285856683E7,5.755066793576751E7,3.7774093991695955E7,1.2244230580716223E7,0,0,0,2.693848495291571E7,0,6.1882402850493215E7,0,5.685320393224051E7,0,0,0,0,0,0,0,0,0,0,0,7.134133827570702E7,1.2110223335866822E8,0,7.019754907256249E7,0,0,0,0,0,0,0,0,0,0,0,0,9.604663429316968E7,0,0,0,4.067501282811007E7,0,0,0,1.0238359182069115E8,0,0,0,0,0,0,0,0,0,0,0,0,1.2251945882628692E7,0,2.988699086403906E7,0,3.209667149184007E7,
1240,353.2687715749606,9.800972474468088,211,373,[M-H2O+H]+,MS/MS verified: nloss,2,4896;964,370.2720,0,0,0,0,0,0,0,0,0,0,0,1.0879875704005236E7,2.1899382358381476E7,2.0192233714713633E7,2.1249865383022483E7,1.9750818813117765E7,2.2285530129312553E7,1.9912046075939365E7,2.627071699528669E7,1.8030100498736385E7,1.8534850477661792E7,1.995143074148746E7,2.337295206047557E7,0,1.9091539327997986E7,1.7745849986463018E7,2.2344076633697074E7,1.9216684665329676E7,2.1276744319021124E7,1475783.4507268134,1.694005691005312E7,2.0566463684861954E7,2.915976611482649E7,2.8395497065419238E7,4.447180797071976E7,4.048803033099869E7,3.033776564585171E7,0,4.1798309830494285E7,0,3.0920716091376893E7,2.6094773990881864E7,3.542174820205696E7,5.883027281345255E7,0,4.094371837448714E7,4.225864695779663E7,0,0,0,4.692627273231135E7,0,0,7.102899148370634E7,0,0,0,6.676412667688254E7,7.145574799667972E7,0,6.120091289427213E7,0,0,0,0,9.211159070157835E7,0,0,0,3075816.7565085003,0,0,0,8.655603149629444E7,0,0,0,6.004398109161875E7,371335.64392584085,0,0,8.048834625780115E7,0,0,0,0,0,0,0,0,0,0,0,0,1.9587246388933834E7,0,2.31545986236032E7,2.186255921339036E7,2.3275517914249234E7,
1241,866.4895029787298,2.4133290840000003,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,7801417.493842425,0,1.0467854912607804E7,0,1.1086774257526806E7,0,1.3707176561343396E7,1.2523171511950837E7,8197579.272445437,0,1.3778872281691946E7,1.6218706430872219E7,0,0,0,1.2561398342708534E7,0,0,0,8823080.814064791,1.0907352691572765E7,1.7354441900277417E7,1.3563619392458636E7,0,0,0,0,0,1.1331507085184772E7,2.065928288576322E7,0,0,3.8159058666842E7,0,2.666039741034397E7,2.4878574671817258E7,0,0,0,3.295299710299611E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.844030713161663E7,0,0,0,4.4575653425426744E7,0,0,0,5.7061261523271255E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257158856517356E7,1.1662907004235469E7,1.3382384704689767E7,
1242,165.0910772313899,9.704195302985077,204,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.1019441902235605E7,2.1321947672769826E7,1.7724406862858076E7,1.7628846047711987E7,1.9013038163140345E7,1.9864751232412297E7,1.9784509154467616E7,2.1171745327459343E7,1.7810090018023368E7,1.856154633425506E7,6341007.683515211,7054158.2200127635,0,3.755672974004036E7,2.456467797031307E7,3.1751502489634912E7,1.5917894875153773E7,6486489.075333267,0,5280350.178448925,3.2020944661381543E7,9384358.336441716,4.867063347759961E7,1.6274632684040377E7,1.4860604863393426E7,1.906703130363204E7,7226986.496220788,1.5835794443303695E7,7826305.069508928,1.981400223304848E7,5.694403090961669E7,2.2745705085451357E7,3.2798686659102634E7,1.3030206318270728E7,1.307921766801615E7,2.5889243907643076E7,2.543805900890608E7,0,2.977453999916891E7,3.0351481916520298E7,2.5437260081547182E7,2.0906858137583878E7,2.4325811538540304E7,1.1665388045503827E7,1.5135298639236543E7,1.328371653717473E7,2.637188691721558E7,2.8073681312805217E7,4887128.470650996,2.4069144666331496E7,2.3827299172441572E7,1.3498557707482286E7,3.066346140722186E7,2.7266761295546502E7,3.580779901094329E7,4.571091611125538E7,0,4.1392020474265024E7,2453141.8417730127,0,0,0,3.5958012258197665E7,3.911676149822187E7,0,4.487878718343158E7,2.333911741416084E7,6.010620464442173E7,0,0,3.300753756320753E7,5.838691864091554E7,0,0,0,0,0,0,5.243333624769505E7,0,0,0,0,2.0273026031618506E7,0,2.127272335176016E7,2.0825549256268956E7,2.0367415210516825E7,
1243,487.37614195060854,7.021753939583333,127,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.3701414673624847E7,1.8319671102727238E7,1.5296259895707367E7,1.5328383884624282E7,1.4496949418688811E7,1.1917261520502223E7,1.5378109775826095E7,7528008.503835787,1.5585075676953169E7,1.3826044973935585E7,0,0,0,3.362021752628274E7,2.145975951255299E7,0,1.4500496109363033E7,0,0,0,0,9563454.9358421,0,1.0799134965942003E7,1.1048179309650742E7,1.506507405634385E7,7559804.085249423,1.0345494709696077E7,7758908.690640828,0,3.058949984371049E7,1.5703325641644862E7,1.2578769512963552E7,1.3344545817794377E7,0,0,2.3448609060178988E7,0,2.604354688937164E7,7342992.511891636,2.4824579013642915E7,1.8388913335719723E7,1.3890579925027018E7,1.294215217571481E7,1.6370681412061166E7,1.2723993564707844E7,1.4897663286713036E7,1.4436045707439397E7,7878654.323127974,1.362265874886098E7,2.284752364583291E7,1.392203199443464E7,2.4732972048220254E7,0,1.4669141669837233E7,3.0154726617390826E7,0,2.7094176085151084E7,0,0,0,0,0,2.5193314995536473E7,0,0,5646379.525795466,3.2947330555420093E7,0,0,0,3.0413809901853822E7,0,0,0,0,0,0,0,0,0,0,0,1.4885279790760996E7,0,0,0,0,
1244,435.27196379872413,5.834016519565217,103,92,[M+Na]+,,3,4216;1189;5001,412.2825,0,0,0,0,0,0,0,0,0,0,0,1.1222154790046902E7,1.6416549379992124E7,1.5112472087494455E7,1.511840554168116E7,1.5456296902113756E7,1.6113165439776124E7,1.4494591287100751E7,1.6549879876824144E7,1.4653293290090956E7,1.5471299859962713E7,1.7531768506223958E7,2.1449423769065708E7,0,492808.4584723146,1.2374018640523847E7,1.1624171832721382E7,2.8953448250659272E7,1.8710395578054868E7,0,2.917861655885385E7,1.1832936026149223E7,2.5953646176861465E7,1.2658126760688271E7,3.2214551462760672E7,3.184907659644431E7,2.232290210123423E7,2.025995462670972E7,3.392747927822857E7,1.9773658103982035E7,2.444279974053773E7,1.2332927019958422E7,2.4470154217926223E7,3.3765140790581584E7,0,3.3496106617742863E7,2.620563198476929E7,0,0,0,3.22934987435326E7,0,0,7.849118900972135E7,0,0,0,4.568414205245363E7,4.8814103924871415E7,0,4.5114772039365984E7,0,0,0,0,9.776220720723046E7,0,0,0,0,0,0,0,5.63294286396258E7,0,0,0,7.294486574803086E7,0,0,0,5.5559876705631316E7,0,0,0,0,0,0,0,0,0,0,0,0,1.5825384390367026E7,0,1.6666910933719005E7,3.026008139213207E7,1.8624019944809303E7,
1245,393.2613708895664,5.866544747272726,103,109,[M-H+2Na]+,,1,4535,348.2889,0,0,0,0,0,0,0,0,0,0,0,1.0472627379961886E7,1.5108549327686004E7,1.772223755104962E7,1.799831387722429E7,1.6889526644379485E7,1.852091603519093E7,1.751640839981549E7,1.8863848795466766E7,1.897282195810574E7,1.9598492270356584E7,1.3480520188480392E7,1.6961080576179475E7,2808837.3261644505,1.2174244844904175E7,1.4670249734133475E7,1.5228115944262637E7,1.8253782701880254E7,1.5992152667053921E7,0,1.567942166268551E7,1.4912227602165796E7,2.1502214075514484E7,1.2289202090836162E7,2.3611126185669295E7,2.7714674899840605E7,2.1402521141509112E7,2.365683290874626E7,2.4630430692030374E7,2.5330421416281365E7,2.0866537325121332E7,1.2725037206547694E7,2.378140201683365E7,2.5456622322236225E7,0,2.3940813133282423E7,2.5159362540609363E7,0,0,0,2.929843358290884E7,0,5919287.406972851,3.6109731649715446E7,0,0,1.1423162019722229E7,3.577413333948826E7,3.1076331932044808E7,0,3.1837475293282833E7,0,1.1130142140938597E7,0,0,3.2999219486267533E7,0,0,0,3529259.3642622,0,0,0,3.1032992814494774E7,0,0,0,3.410278437355321E7,0,1.0866099424173612E7,0,3.362633425814998E7,0,0,0,0,0,0,0,0,0,1.1664185659759017E7,1.1697340729679575E7,0,1.6929947852832884E7,1.3827134849413313E7,1.7975556487533648E7,1.7760814361436903E7,1.8332369454182994E7,
1246,443.3528166934676,7.233328113953489,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.3921509620052284E7,2.838286816188878E7,2.3792990696366865E7,2.69285891964435E7,2.6913531471696787E7,2.978310906266794E7,3.009964003451089E7,2.805101323436345E7,2.7068540657740563E7,2.795938386435906E7,1.2756530457864951E7,1.3759860453806607E7,0,4.386786158721082E7,3.6813561502217464E7,4.465974080940376E7,2.7447713492095537E7,9587475.254240284,0,0,4.660382284271539E7,2816307.279720739,6.1297284290845945E7,0,636099.8640659952,1506167.8676797121,0,0,0,3.1863363905450225E7,0,0,4.8742122423759796E7,0,2.5380057491665125E7,4.583167681807905E7,0,0,0,4.805070238573734E7,3.3349102039208848E7,0,4.788757286189306E7,0,0,1.426921292700759E7,0,2.154382293089467E7,0,0,0,0,3.4079781636802495E7,3.2163614231495563E7,5.995522200875828E7,0,0,0,0,0,0,0,0,0,0,5.6218372289796084E7,4.7896559909655586E7,5.613039072531302E7,0,0,5.531557916893644E7,6.856733851404075E7,0,0,0,0,0,0,5.647512407189301E7,0,0,0,0,0,0,2.964897112481171E7,2.7685839529562503E7,2.7681016769610792E7,
1247,407.3136143931235,12.227017048780489,275,550,[M+Na]+,,2,2152;1556,384.3244,0,0,0,0,0,0,0,0,0,0,0,8750277.020085126,1.9798904728087056E7,1.5306365060973214E7,1.266535651229465E7,1.0253068346121738E7,1.425727573119751E7,1.3223101481615713E7,1.5113639039954904E7,1.360565303521696E7,1.2198148432353595E7,1.3992904048927343E7,2.0146452208038613E7,0,1.1692033868409317E7,1.391909428158183E7,1.4509073676365754E7,1.428263577889977E7,1.9301721288218286E7,0,1.421454584085596E7,1.0904487487972891E7,2.3254226982320625E7,2.039182578630084E7,3.4932229717569955E7,3.533218613917349E7,2.34070442573851E7,1.3534925808519144E7,4416227.776559991,0,2.2903884913052656E7,1.7455363652081802E7,5967920.894202247,3.801822978202193E7,0,1.80060590825091E7,2.911730192692128E7,0,0,0,0,0,0,0,0,0,0,4.5933455040595025E7,5.412913207788373E7,0,4.276719147243352E7,0,0,0,0,1.0117386913884826E7,0,0,0,0,0,0,0,6.492036446911005E7,0,0,0,0,0,0,0,7.299506118639329E7,0,0,0,0,0,0,0,0,0,0,0,0,1.4424932257035002E7,0,1.8145215460085556E7,0,1.6308419496287253E7,
1248,398.2585192671855,10.093385531428572,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.006304164393344E7,1.3060530214672584E7,0,1.2300812691683028E7,1.394069807644993E7,1.3117652590815336E7,1.3023417138675159E7,1.3112876361414673E7,1.1399307621146679E7,1.3060267906083722E7,1.5030753770395964E7,1.4786407635205774E7,0,0,0,0,1.3931712683088167E7,1.4180564162011273E7,0,1.3284355347156908E7,1.4175972663295079E7,973860.8593551932,1.2290705622401778E7,2.068906148966518E7,1726433.6779087908,0,1.2984356886443576E7,1.972657761369855E7,1.4001784751132658E7,1.8389612692581527E7,625496.4924232478,1.910108256472714E7,2030816.0668723746,0,2.1518879029753275E7,1.132636068977429E7,0,0,0,2.063302177370558E7,0,0,1.9613615927886143E7,0,0,0,1264953.2297035991,0,0,2614122.446129447,0,0,0,0,2.116532072308436E7,0,0,0,0,0,0,0,0,0,0,0,1.2306454172179233E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3928436923018454E7,0,0,0,0,
1249,736.4850404278885,8.08046651304348,160,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2.042078426572538E7,3.554181953454692E7,3.0275121127861347E7,3.270851511181924E7,3.2805422444733527E7,3.646993985804406E7,3.520144209374938E7,4.031233247416072E7,3.1792033242746603E7,3.2183937591178175E7,0,0,0,6.312183863943249E7,4.750702763410655E7,5.384854321371734E7,3.1164450979554016E7,0,0,0,5.05218767342515E7,1.519060832386317E7,8.425447258694626E7,2.680713525021968E7,0,3.049520837196352E7,0,2055655.9696437235,0,3.3094224901991002E7,8.307575209951212E7,0,5.4282561605493344E7,2.4493026416021693E7,2.3069023229346912E7,4.394245002428468E7,0,0,5.253181597020817E7,5.015792168347426E7,0,3.708981187889742E7,4.027822639285383E7,0,0,0,4.1223177634178676E7,3.998781953638829E7,0,0,4.679510854672211E7,2.6253729078742713E7,5.490183538009582E7,4.993633350983934E7,5.459053966111364E7,7.135451912851752E7,0,0,0,0,0,0,5.301664912355642E7,0,0,7.209755545466615E7,3.971505079087149E7,0,0,0,5.3464313712367564E7,0,0,0,0,0,0,0,8.969347245775001E7,0,0,0,0,0,0,3.578711410179458E7,3.6612316109976254E7,3.5807784207197525E7,
1250,355.28435921143733,10.875149195652178,224,473,[M+H]+,,3,1467;516;5148,354.2772,0,0,0,0,0,0,0,0,0,0,0,1.1482109061542938E7,2.3813992032059517E7,2.0449492535114285E7,1.7799182135799576E7,1.7013953398519248E7,1.8372514536530957E7,1.80277746408532E7,2.2876608350011E7,1.642167764871621E7,1.769021575509139E7,1.845249758870805E7,2.009846391866817E7,0,1.908429292413943E7,1.9436603505880818E7,2.0989728620739542E7,1.6929244294767573E7,2.2208060228196755E7,0,1.4527355031980835E7,1.7477674858811546E7,2.919097127255511E7,2.6392960406440254E7,3.642693884100859E7,3.378966751129012E7,2.9487548990037058E7,1.852493895382339E7,3.763551870272417E7,1.996792480172793E7,2.44091689790386E7,2.629209076344651E7,2.920497667118448E7,5.2667803811891414E7,0,3.1878758907432582E7,3.2687067998701926E7,0,0,0,4.003999068024973E7,0,0,5.715606277730914E7,0,0,0,6.0845109657994725E7,6.6315170950094454E7,0,5.0283650739499435E7,0,0,0,0,7.87138681240802E7,0,0,0,0,0,0,0,7.831929461132641E7,0,0,0,4.680675893185932E7,0,0,0,6.724305717085643E7,0,0,0,0,0,0,0,0,0,0,0,0,1.8992787589494806E7,0,2.0691780397215966E7,1.770522239191534E7,2.1623356416823544E7,
1251,458.7927814342229,2.9954309937500003,47,,,,,,,0,0,0,0,0,0,0,0,0,0,0,7859696.70705951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.095333282880188E7,1.949063208298746E7,0,0,2.4354071862297818E7,0,0,0,1.9194731284317926E7,2.2023652344891872E7,0,1.909751324207238E7,2.0500036407464307E7,0,0,0,2.3159659013928294E7,0,0,2.4430697603083875E7,0,0,0,0,2.9975068660822734E7,0,2.867435474314529E7,0,0,0,0,3.3262519414129965E7,0,0,0,0,0,0,0,3.378107778906989E7,0,0,0,2.625770839891898E7,0,0,0,3.258459137370172E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1252,367.3209833729459,11.512106205128205,253,509,[M+H]+,,1,905,366.3150,0,0,0,0,0,0,0,0,0,0,0,1.800367118889675E7,2.8149048818666723E7,2.7461287490210243E7,2.6719643609657686E7,2.7472446507598504E7,3.059871659325201E7,1.5232428828508036E7,3.323499177154549E7,2.5622931911258645E7,2.832664877467048E7,3.1314378116272457E7,3.370303450598042E7,0,2.575175063356386E7,2.321284117828349E7,1.3519524781804768E7,2.872139062425905E7,0,0,2.5154814897587594E7,2.5421474902663786E7,0,0,6.563799172212372E7,6.1669259617938265E7,3.813788104675886E7,3.1174016560893297E7,6.604743000860058E7,3.2945688215497762E7,4.328037261083722E7,3.299059848720117E7,5.524206080166225E7,0,0,0,0,0,0,0,7.911572015464054E7,0,0,5.433652079909344E7,0,0,0,9.866888865964215E7,9.75870046455456E7,0,9.985713604872026E7,0,0,0,0,7.817280896764721E7,0,0,0,0,0,0,0,0,0,0,0,9.65787307087796E7,0,0,0,1.2531780388469948E8,0,0,0,0,0,0,0,0,0,0,0,0,3.020986623375968E7,0,2.873380673212054E7,1.6553232312698666E7,2.989172550291938E7,
1253,304.2996867817787,6.738180830952382,128,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5.4322752201259226E7,8.237812889560387E7,2.288252617905948E7,1.0226888582269235E8,9.42294653451829E7,9.892963351525955E7,1.0091585917069867E8,1.0182004028188553E8,2.5524639572399635E7,8.778230722359279E7,5.150134725957422E7,5.710013095886744E7,0,1.3335429435265832E8,0,1.4056400135870802E8,8.495949882360639E7,0,0,4.729007841918251E7,1.3211589635625425E8,0,1.8566777013281643E8,0,3.027394734251774E7,0,0,1.102667844361317E8,0,1.0653924474809362E8,0,0,1.5725544539034683E8,0,9.28647559691299E7,1.4099955395086706E8,8.833529941097127E7,0,2.8390189292821605E7,1.71538992209068E8,8.375056768325976E7,0,4.9271711998741165E7,4.2908301063345924E7,0,0,0,0,0,0,0,1.7251499188013416E7,9.521358489689074E7,1.0012204278899828E8,2.1650508187006536E8,0,0,0,0,0,0,0,2.2471444351698774E8,0,0,1.386349367011212E8,1.773637469374794E8,1.7550475305148625E8,0,0,2.3330407716067114E8,1.9196138639535105E8,0,0,0,0,0,0,1.860769393934737E8,0,0,0,0,0,0,0,9.776012415460221E7,0,
