Filename	Samplename	Dataset	Laboratory	Data	Data_collector	Instrument	Instrument_id	Column	Experiment	Sample_type	Sample_type2	Sample_position	Triplicate_number	Sequence_number	Injection_volume	Proportion_Fecal_1	Proportion_Fecal_2	Proportion_Tomato	Proportion_NIST_1950_SRM	Proportions	Batch	Species1	Species2	Species1_metadata	Species1_metadata2	Species2_metadata	Sex	Ionisation_mode	Extraction	Sample_preparation	Method	qTOF_LCmethod
QEC18_blank_SPE_20181227221813.mzML	QE_C18_blank SPE_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_SPE	A5	3	80	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_blank_SPE.mzML	QE_C18_blank SPE_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Blank	blank_SPE	A5	1	3	10	0	0	0	0	0_0_0_0	1	n/a					n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_NIST_20181227102029.mzML	QE_C18_NIST_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A4	2	46	10	0	0	0	100	0_0_0_100	1	Homo sapiens			Serum		n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_NIST_20181227182328.mzML	QE_C18_NIST_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A4	3	69	10	0	0	0	100	0_0_0_100	1	Homo sapiens			Serum		n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_NIST.mzML	QE_C18_NIST_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A4	1	23	10	0	0	0	100	0_0_0_100	1	Homo sapiens			Serum		n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To_20181227204313.mzML	QE_C18_To_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A3	2	75	10	0	0	100	0	0_0_100_0	1		Solanum lycopersicum			Whole plant		positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To_20181227231513.mzML	QE_C18_To_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A3	3	83	10	0	0	100	0	0_0_100_0	1		Solanum lycopersicum			Whole plant		positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To.mzML	QE_C18_To_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A3	1	32	10	0	0	100	0	0_0_100_0	1		Solanum lycopersicum			Whole plant		positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-1_NIST-3_20181227172525.mzML	QE_C18_To-1_NIST-3_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C3	2	66	10	0	0	25	75	0_0_25_75	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-1_NIST-3_20181227214013.mzML	QE_C18_To-1_NIST-3_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C3	3	78	10	0	0	25	75	0_0_25_75	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-1_NIST-3.mzML	QE_C18_To-1_NIST-3_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C3	1	56	10	0	0	25	75	0_0_25_75	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-1_NIST-1_20181227111754.mzML	QE_C18_To-1_NIST-1_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C1	2	49	10	0	0	50	50	0_0_50_50	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-1_NIST-1_20181228010915.mzML	QE_C18_To-1_NIST-1_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C1	3	89	10	0	0	50	50	0_0_50_50	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-1_NIST-1.mzML	QE_C18_To-1_NIST-1_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C1	1	6	10	0	0	50	50	0_0_50_50	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-3_NIST-1_20181227074824.mzML	QE_C18_To-3_NIST-1_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C2	2	37	10	0	0	75	25	0_0_75_25	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-3_NIST-1_20181227160801.mzML	QE_C18_To-3_NIST-1_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C2	3	62	10	0	0	75	25	0_0_75_25	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_To-3_NIST-1.mzML	QE_C18_To-3_NIST-1_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	C2	1	16	10	0	0	75	25	0_0_75_25	1	Homo sapiens	Solanum lycopersicum		Serum	Whole plant	n/a	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2_20181227121553.mzML	QE_C18_F2_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A2	2	51	10	0	100	0	0	0_100_0_0	1	Homo sapiens		Fecal			male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2_20181228001213.mzML	QE_C18_F2_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A2	3	86	10	0	100	0	0	0_100_0_0	1	Homo sapiens		Fecal			male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2.mzML	QE_C18_F2_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	A2	1	9	10	0	100	0	0	0_100_0_0	1	Homo sapiens		Fecal			male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_NIST-3_20181227103932.mzML	QE_C18_F2-1_NIST-3_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D4	2	47	10	0	25	0	75	0_25_0_75	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_NIST-3_20181227145038.mzML	QE_C18_F2-1_NIST-3_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D4	3	58	10	0	25	0	75	0_25_0_75	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_NIST-3.mzML	QE_C18_F2-1_NIST-3_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D4	1	7	10	0	25	0	75	0_25_0_75	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_To-3_20181226223728.mzML	QE_C18_F2-1_To-3_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	B8	2	8	10	0	25	75	0	0_25_75_0	1	Homo sapiens	Solanum lycopersicum	Fecal		Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_To-3_20181227041925.mzML	QE_C18_F2-1_To-3_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	B8	3	26	10	0	25	75	0	0_25_75_0	1	Homo sapiens	Solanum lycopersicum	Fecal		Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_To-3.mzML	QE_C18_F2-1_To-3_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	B8	1	5	10	0	25	75	0	0_25_75_0	1	Homo sapiens	Solanum lycopersicum	Fecal		Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_NIST-1_20181227212113.mzML	QE_C18_F2-1_NIST-1_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D2	2	77	10	0	50	0	50	0_50_0_50	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_NIST-1_20181227233413.mzML	QE_C18_F2-1_NIST-1_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D2	3	84	10	0	50	0	50	0_50_0_50	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_NIST-1.mzML	QE_C18_F2-1_NIST-1_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D2	1	33	10	0	50	0	50	0_50_0_50	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_To-1_20181227150959.mzML	QE_C18_F2-1_To-1_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	B6	2	59	10	0	50	50	0	0_50_50_0	1	Homo sapiens	Solanum lycopersicum	Fecal		Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_To-1_20181228014719.mzML	QE_C18_F2-1_To-1_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	B6	3	91	10	0	50	50	0	0_50_50_0	1	Homo sapiens	Solanum lycopersicum	Fecal		Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-1_To-1.mzML	QE_C18_F2-1_To-1_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	B6	1	44	10	0	50	50	0	0_50_50_0	1	Homo sapiens	Solanum lycopersicum	Fecal		Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-3_NIST-1_20181227162723.mzML	QE_C18_F2-3_NIST-1_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D3	2	28	10	0	75	0	25	0_75_0_25	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-3_NIST-1_20181228005015.mzML	QE_C18_F2-3_NIST-1_inj_3	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D3	3	65	10	0	75	0	25	0_75_0_25	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-3_NIST-1.mzML	QE_C18_F2-3_NIST-1_inj_1	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	D3	1	11	10	0	75	0	25	0_75_0_25	1	Homo sapiens		Fecal	Serum		male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
QEC18_F2-3_To-1_20181227082626.mzML	QE_C18_F2-3_To-1_inj_2	Gradient_benchmarking_dataset	Dorrestein Lab - UC San Diego	Dec-18	Nothias and Esposito	Q-Exactive (ThemoFisher)	QE	Phenomenex Kinetex C18 1.7 um (100A)  100 x 2.1 mm	C18	Sample	Sample	B7	2	39	10	0	75	25	0	0_75_25_0	1	Homo sapiens	Solanum lycopersicum	Fecal		Whole plant	male	positive	Aqueous_methanol	SPE_Oasis_HLB	1901_BenchMark_C18_pos_MS1_35k_MS2_17k_TOP4+1,5Da_v11_1e6_excl14_top4_RTshift.meth	
